key,airport_name,carrier_name,reason,avg_delay,total_ct
72,"Albany, NY: Albany International",United Air Lines Inc.,Weather,90.68881107,5.79
73,"Albany, NY: Albany International",US Airways Inc.,Carrier,42.29053831,47.07
74,"Albany, NY: Albany International",US Airways Inc.,Late Aircraft,49.30524609,20.29
75,"Albany, NY: Albany International",US Airways Inc.,National Air Systems,29.60070274,17.01
76,"Albany, NY: Albany International",US Airways Inc.,Security,31,1
77,"Albany, NY: Albany International",US Airways Inc.,Weather,68.73849998,3.65
78,"Albuquerque, NM: Albuquerque International Sunport",Alaska Airlines Inc.,Carrier,30,3
79,"Albuquerque, NM: Albuquerque International Sunport",Alaska Airlines Inc.,National Air Systems,22.83333333,4
80,"Albuquerque, NM: Albuquerque International Sunport",American Airlines Inc.,Carrier,46.73187482,283.56
81,"Albuquerque, NM: Albuquerque International Sunport",American Airlines Inc.,Late Aircraft,59.97265169,248.88
82,"Albuquerque, NM: Albuquerque International Sunport",American Airlines Inc.,National Air Systems,36.05396422,102.05
83,"Albuquerque, NM: Albuquerque International Sunport",American Airlines Inc.,Weather,87.03554377,22.48
84,"Albuquerque, NM: Albuquerque International Sunport",American Eagle Airlines Inc.,Carrier,55.23844872,19.46
85,"Albuquerque, NM: Albuquerque International Sunport",American Eagle Airlines Inc.,Late Aircraft,61.88551655,39.52
86,"Albuquerque, NM: Albuquerque International Sunport",American Eagle Airlines Inc.,National Air Systems,34.91429698,6.02
87,"Albuquerque, NM: Albuquerque International Sunport",Delta Air Lines Inc.,Carrier,49.57746729,98.98
88,"Albuquerque, NM: Albuquerque International Sunport",Delta Air Lines Inc.,Late Aircraft,48.65517541,56.22
89,"Albuquerque, NM: Albuquerque International Sunport",Delta Air Lines Inc.,National Air Systems,34.49374786,46.27
90,"Albuquerque, NM: Albuquerque International Sunport",Delta Air Lines Inc.,Weather,46.93382584,16.53
91,"Albuquerque, NM: Albuquerque International Sunport",Envoy Air,Carrier,45.90439062,53.13
92,"Albuquerque, NM: Albuquerque International Sunport",Envoy Air,Late Aircraft,66.18691947,51.45
93,"Albuquerque, NM: Albuquerque International Sunport",Envoy Air,National Air Systems,45.4802323,48.35
94,"Albuquerque, NM: Albuquerque International Sunport",Envoy Air,Security,75.90361446,0.83
95,"Albuquerque, NM: Albuquerque International Sunport",Envoy Air,Weather,100.8739697,2.25
96,"Albuquerque, NM: Albuquerque International Sunport",ExpressJet Airlines Inc.,Carrier,61.26616719,112.41
97,"Albuquerque, NM: Albuquerque International Sunport",ExpressJet Airlines Inc.,Late Aircraft,71.6353608,114.79
98,"Albuquerque, NM: Albuquerque International Sunport",ExpressJet Airlines Inc.,National Air Systems,45.18867764,119.49
99,"Albuquerque, NM: Albuquerque International Sunport",ExpressJet Airlines Inc.,Weather,99.6675177,8.3
100,"Albuquerque, NM: Albuquerque International Sunport",Frontier Airlines Inc.,Carrier,93.93939394,0.33
101,"Albuquerque, NM: Albuquerque International Sunport",Frontier Airlines Inc.,Late Aircraft,101.010101,1.98
102,"Albuquerque, NM: Albuquerque International Sunport",Frontier Airlines Inc.,National Air Systems,67.1641791,2.68
103,"Albuquerque, NM: Albuquerque International Sunport",Frontier Airlines Inc.,Weather,200,0.01
104,"Albuquerque, NM: Albuquerque International Sunport",JetBlue Airways,Carrier,45.7726355,28.18
105,"Albuquerque, NM: Albuquerque International Sunport",JetBlue Airways,Late Aircraft,55.09149094,24.2
106,"Albuquerque, NM: Albuquerque International Sunport",JetBlue Airways,National Air Systems,48.90957599,27.25
107,"Albuquerque, NM: Albuquerque International Sunport",JetBlue Airways,Security,54.72472472,0.92
108,"Albuquerque, NM: Albuquerque International Sunport",JetBlue Airways,Weather,103.6041766,5.46
109,"Albuquerque, NM: Albuquerque International Sunport",SkyWest Airlines Inc.,Carrier,58.54900849,268.88
110,"Albuquerque, NM: Albuquerque International Sunport",SkyWest Airlines Inc.,Late Aircraft,59.33654197,314.88
111,"Albuquerque, NM: Albuquerque International Sunport",SkyWest Airlines Inc.,National Air Systems,28.96021843,138.53
112,"Albuquerque, NM: Albuquerque International Sunport",SkyWest Airlines Inc.,Security,16.90140845,0.71
113,"Albuquerque, NM: Albuquerque International Sunport",SkyWest Airlines Inc.,Weather,60.27004997,7.01
114,"Albuquerque, NM: Albuquerque International Sunport",Southwest Airlines Co.,Carrier,42.00329972,1541.39
115,"Albuquerque, NM: Albuquerque International Sunport",Southwest Airlines Co.,Late Aircraft,52.95791524,2080.27
116,"Albuquerque, NM: Albuquerque International Sunport",Southwest Airlines Co.,National Air Systems,34.12320922,389.46
117,"Albuquerque, NM: Albuquerque International Sunport",Southwest Airlines Co.,Security,37.83665258,6.65
118,"Albuquerque, NM: Albuquerque International Sunport",Southwest Airlines Co.,Weather,52.06635929,23.22
119,"Albuquerque, NM: Albuquerque International Sunport",United Air Lines Inc.,Carrier,69.96040218,24.77
120,"Albuquerque, NM: Albuquerque International Sunport",United Air Lines Inc.,Late Aircraft,75.06394151,7.61
121,"Albuquerque, NM: Albuquerque International Sunport",United Air Lines Inc.,National Air Systems,39.01992455,4.25
122,"Albuquerque, NM: Albuquerque International Sunport",United Air Lines Inc.,Weather,109.672619,0.37
123,"Albuquerque, NM: Albuquerque International Sunport",US Airways Inc.,Carrier,17,2
124,"Albuquerque, NM: Albuquerque International Sunport",US Airways Inc.,National Air Systems,23.94366197,0.71
125,"Albuquerque, NM: Albuquerque International Sunport",US Airways Inc.,Security,24.13793103,0.29
126,"Alexandria, LA: Alexandria International",American Eagle Airlines Inc.,Carrier,39.13069609,15.42
127,"Alexandria, LA: Alexandria International",American Eagle Airlines Inc.,Late Aircraft,50.96505127,19.21
128,"Alexandria, LA: Alexandria International",American Eagle Airlines Inc.,National Air Systems,31.3140964,7.77
129,"Alexandria, LA: Alexandria International",American Eagle Airlines Inc.,Weather,50.47682709,3.59
130,"Alexandria, LA: Alexandria International",Envoy Air,Carrier,45.17217958,64.75
131,"Alexandria, LA: Alexandria International",Envoy Air,Late Aircraft,48.88976858,84.03
132,"Alexandria, LA: Alexandria International",Envoy Air,National Air Systems,32.54366574,38.56
133,"Alexandria, LA: Alexandria International",Envoy Air,Security,61.53846154,0.49
134,"Alexandria, LA: Alexandria International",Envoy Air,Weather,58.06380365,20.17
135,"Alexandria, LA: Alexandria International",ExpressJet Airlines Inc.,Carrier,57.75773987,195.4
136,"Alexandria, LA: Alexandria International",ExpressJet Airlines Inc.,Late Aircraft,59.31733372,174.16
137,"Alexandria, LA: Alexandria International",ExpressJet Airlines Inc.,National Air Systems,44.64981763,106.08
138,"Alexandria, LA: Alexandria International",ExpressJet Airlines Inc.,Weather,90.63762376,7.37
139,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Delta Air Lines Inc.,Carrier,52.88879695,12.36
140,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Delta Air Lines Inc.,Late Aircraft,81.47905632,10.37
141,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Delta Air Lines Inc.,National Air Systems,29.91694743,10.5
142,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Delta Air Lines Inc.,Weather,51.94805195,0.77
143,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",ExpressJet Airlines Inc.,Carrier,61.05281006,111.93
144,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",ExpressJet Airlines Inc.,Late Aircraft,59.63098642,81.73
145,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",ExpressJet Airlines Inc.,National Air Systems,42.3626509,53.14
146,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",ExpressJet Airlines Inc.,Weather,131.1259353,4.2
147,"Alpena, MI: Alpena County Regional",SkyWest Airlines Inc.,Carrier,56.42119858,36.86
148,"Alpena, MI: Alpena County Regional",SkyWest Airlines Inc.,Late Aircraft,88.18469202,18.45
149,"Alpena, MI: Alpena County Regional",SkyWest Airlines Inc.,National Air Systems,29.15187543,24.17
150,"Alpena, MI: Alpena County Regional",SkyWest Airlines Inc.,Weather,74.53964926,2.52
151,"Amarillo, TX: Rick Husband Amarillo International",American Eagle Airlines Inc.,Carrier,42.40857503,3.7
152,"Amarillo, TX: Rick Husband Amarillo International",American Eagle Airlines Inc.,Late Aircraft,51.16651314,6.32
153,"Amarillo, TX: Rick Husband Amarillo International",American Eagle Airlines Inc.,National Air Systems,46.27313614,7.42
154,"Amarillo, TX: Rick Husband Amarillo International",American Eagle Airlines Inc.,Weather,152.866242,1.57
155,"Amarillo, TX: Rick Husband Amarillo International",Envoy Air,Carrier,49.89913293,211.93
156,"Amarillo, TX: Rick Husband Amarillo International",Envoy Air,Late Aircraft,54.03720012,173.39
157,"Amarillo, TX: Rick Husband Amarillo International",Envoy Air,National Air Systems,37.51594957,85.6
158,"Amarillo, TX: Rick Husband Amarillo International",Envoy Air,Security,38.83828332,3.97
159,"Amarillo, TX: Rick Husband Amarillo International",Envoy Air,Weather,85.3316926,37.08
160,"Amarillo, TX: Rick Husband Amarillo International",ExpressJet Airlines Inc.,Carrier,67.00971574,247.11
161,"Amarillo, TX: Rick Husband Amarillo International",ExpressJet Airlines Inc.,Late Aircraft,59.67652836,314.07
162,"Amarillo, TX: Rick Husband Amarillo International",ExpressJet Airlines Inc.,National Air Systems,42.47178099,173.74
163,"Amarillo, TX: Rick Husband Amarillo International",ExpressJet Airlines Inc.,Weather,123.9067599,3.1
164,"Amarillo, TX: Rick Husband Amarillo International",SkyWest Airlines Inc.,Carrier,64.9996447,11.91
165,"Amarillo, TX: Rick Husband Amarillo International",SkyWest Airlines Inc.,Late Aircraft,61.74990469,5.2
166,"Amarillo, TX: Rick Husband Amarillo International",SkyWest Airlines Inc.,National Air Systems,46.29864101,7.88
167,"Amarillo, TX: Rick Husband Amarillo International",Southwest Airlines Co.,Carrier,43.68323582,300.7
168,"Amarillo, TX: Rick Husband Amarillo International",Southwest Airlines Co.,Late Aircraft,54.11447624,422.49
169,"Amarillo, TX: Rick Husband Amarillo International",Southwest Airlines Co.,National Air Systems,43.60623967,65.5
170,"Amarillo, TX: Rick Husband Amarillo International",Southwest Airlines Co.,Weather,78.50478384,11.33
171,"Anchorage, AK: Ted Stevens Anchorage International",Alaska Airlines Inc.,Carrier,56.60520892,432.52
172,"Anchorage, AK: Ted Stevens Anchorage International",Alaska Airlines Inc.,Late Aircraft,67.94607216,648.27
173,"Anchorage, AK: Ted Stevens Anchorage International",Alaska Airlines Inc.,National Air Systems,27.48170767,535.38
174,"Anchorage, AK: Ted Stevens Anchorage International",Alaska Airlines Inc.,Security,34.43664653,33.86
175,"Anchorage, AK: Ted Stevens Anchorage International",Alaska Airlines Inc.,Weather,46.28173934,35.95
176,"Anchorage, AK: Ted Stevens Anchorage International",American Airlines Inc.,Carrier,42.77266645,19.43
177,"Anchorage, AK: Ted Stevens Anchorage International",American Airlines Inc.,Late Aircraft,47.29615102,11.64
178,"Anchorage, AK: Ted Stevens Anchorage International",American Airlines Inc.,National Air Systems,30.06079549,15.46
179,"Anchorage, AK: Ted Stevens Anchorage International",American Airlines Inc.,Weather,68.91891892,1.48
180,"Anchorage, AK: Ted Stevens Anchorage International",Delta Air Lines Inc.,Carrier,59.53183939,96.8
181,"Anchorage, AK: Ted Stevens Anchorage International",Delta Air Lines Inc.,Late Aircraft,42.3623066,59.65
182,"Anchorage, AK: Ted Stevens Anchorage International",Delta Air Lines Inc.,National Air Systems,30.93700028,88.78
183,"Anchorage, AK: Ted Stevens Anchorage International",Delta Air Lines Inc.,Weather,62.47421758,9.78
184,"Anchorage, AK: Ted Stevens Anchorage International",Frontier Airlines Inc.,Carrier,28.81556468,8.35
185,"Anchorage, AK: Ted Stevens Anchorage International",Frontier Airlines Inc.,Late Aircraft,51.76039425,4.78
186,"Anchorage, AK: Ted Stevens Anchorage International",Frontier Airlines Inc.,National Air Systems,31.86106348,21
187,"Anchorage, AK: Ted Stevens Anchorage International",Frontier Airlines Inc.,Weather,32.00483092,0.87
188,"Anchorage, AK: Ted Stevens Anchorage International",JetBlue Airways,Carrier,52.83629402,24.02
189,"Anchorage, AK: Ted Stevens Anchorage International",JetBlue Airways,Late Aircraft,48.70378334,27.42
190,"Anchorage, AK: Ted Stevens Anchorage International",JetBlue Airways,National Air Systems,29.17176955,31.56
191,"Anchorage, AK: Ted Stevens Anchorage International",United Air Lines Inc.,Carrier,43.84567669,147.48
192,"Anchorage, AK: Ted Stevens Anchorage International",United Air Lines Inc.,Late Aircraft,71.19965555,100.48
193,"Anchorage, AK: Ted Stevens Anchorage International",United Air Lines Inc.,National Air Systems,39.48383827,65.42
194,"Anchorage, AK: Ted Stevens Anchorage International",United Air Lines Inc.,Weather,83.07404223,11.62
195,"Anchorage, AK: Ted Stevens Anchorage International",US Airways Inc.,Carrier,38.59309231,31.88
196,"Anchorage, AK: Ted Stevens Anchorage International",US Airways Inc.,Late Aircraft,48.84130133,6.73
197,"Anchorage, AK: Ted Stevens Anchorage International",US Airways Inc.,National Air Systems,27.39419327,41.57
198,"Anchorage, AK: Ted Stevens Anchorage International",US Airways Inc.,Security,32.63718264,1.74
199,"Anchorage, AK: Ted Stevens Anchorage International",US Airways Inc.,Weather,86.41304348,1.06
200,"Appleton, WI: Outagamie County Regional",Delta Air Lines Inc.,Carrier,42.59640217,7.98
201,"Appleton, WI: Outagamie County Regional",Delta Air Lines Inc.,Late Aircraft,33.28571429,2.28
202,"Appleton, WI: Outagamie County Regional",Delta Air Lines Inc.,National Air Systems,28.14456059,6.1
203,"Appleton, WI: Outagamie County Regional",Delta Air Lines Inc.,Weather,40.75757576,2.65
204,"Appleton, WI: Outagamie County Regional",ExpressJet Airlines Inc.,Carrier,58.04949309,193.13
205,"Appleton, WI: Outagamie County Regional",ExpressJet Airlines Inc.,Late Aircraft,56.59829135,206.53
206,"Appleton, WI: Outagamie County Regional",ExpressJet Airlines Inc.,National Air Systems,43.05783368,122.56
207,"Appleton, WI: Outagamie County Regional",ExpressJet Airlines Inc.,Security,20,1
208,"Appleton, WI: Outagamie County Regional",ExpressJet Airlines Inc.,Weather,71.49107968,7.79
209,"Appleton, WI: Outagamie County Regional",SkyWest Airlines Inc.,Carrier,72.79214903,57.46
210,"Appleton, WI: Outagamie County Regional",SkyWest Airlines Inc.,Late Aircraft,62.64911975,90.49
211,"Appleton, WI: Outagamie County Regional",SkyWest Airlines Inc.,National Air Systems,42.01161854,48.18
212,"Appleton, WI: Outagamie County Regional",SkyWest Airlines Inc.,Weather,143.741818,2.89
213,"Arcata/Eureka, CA: Arcata",SkyWest Airlines Inc.,Carrier,76.33881853,148.08
214,"Arcata/Eureka, CA: Arcata",SkyWest Airlines Inc.,Late Aircraft,69.44414028,376.79
215,"Arcata/Eureka, CA: Arcata",SkyWest Airlines Inc.,National Air Systems,37.52887905,103.87
216,"Arcata/Eureka, CA: Arcata",SkyWest Airlines Inc.,Weather,93.41183796,27.24
217,"Asheville, NC: Asheville Regional",Delta Air Lines Inc.,Carrier,68.98825827,38.96
218,"Asheville, NC: Asheville Regional",Delta Air Lines Inc.,Late Aircraft,54.49313962,31.45
219,"Asheville, NC: Asheville Regional",Delta Air Lines Inc.,National Air Systems,41.65693744,17.06
220,"Asheville, NC: Asheville Regional",Delta Air Lines Inc.,Weather,60.25181357,4.52
221,"Asheville, NC: Asheville Regional",ExpressJet Airlines Inc.,Carrier,53.44413115,191.81
222,"Asheville, NC: Asheville Regional",ExpressJet Airlines Inc.,Late Aircraft,53.76939141,116.69
223,"Asheville, NC: Asheville Regional",ExpressJet Airlines Inc.,National Air Systems,43.93166672,61.9
224,"Asheville, NC: Asheville Regional",ExpressJet Airlines Inc.,Weather,150.305211,4.58
225,"Asheville, NC: Asheville Regional",SkyWest Airlines Inc.,Carrier,65.19497244,87.28
226,"Asheville, NC: Asheville Regional",SkyWest Airlines Inc.,Late Aircraft,63.52879395,131.35
227,"Asheville, NC: Asheville Regional",SkyWest Airlines Inc.,National Air Systems,52.95221002,57.47
228,"Asheville, NC: Asheville Regional",SkyWest Airlines Inc.,Security,18.75,0.16
229,"Asheville, NC: Asheville Regional",SkyWest Airlines Inc.,Weather,136.5111839,1.74
230,"Aspen, CO: Aspen Pitkin County Sardy Field",American Eagle Airlines Inc.,Carrier,61.69805502,15.87
231,"Aspen, CO: Aspen Pitkin County Sardy Field",American Eagle Airlines Inc.,Late Aircraft,57.44725586,16.7
232,"Aspen, CO: Aspen Pitkin County Sardy Field",American Eagle Airlines Inc.,National Air Systems,41.78516063,14.09
233,"Aspen, CO: Aspen Pitkin County Sardy Field",American Eagle Airlines Inc.,Weather,62.48681435,3.33
234,"Aspen, CO: Aspen Pitkin County Sardy Field",Envoy Air,Carrier,63.25293061,31.62
235,"Aspen, CO: Aspen Pitkin County Sardy Field",Envoy Air,Late Aircraft,99.1410193,9.45
236,"Aspen, CO: Aspen Pitkin County Sardy Field",Envoy Air,National Air Systems,49.70218017,18.64
237,"Aspen, CO: Aspen Pitkin County Sardy Field",Envoy Air,Weather,71.59609877,6.28
238,"Aspen, CO: Aspen Pitkin County Sardy Field",SkyWest Airlines Inc.,Carrier,53.03813163,485.74
239,"Aspen, CO: Aspen Pitkin County Sardy Field",SkyWest Airlines Inc.,Late Aircraft,56.06068709,489.5
240,"Aspen, CO: Aspen Pitkin County Sardy Field",SkyWest Airlines Inc.,National Air Systems,40.48226992,291.2
241,"Aspen, CO: Aspen Pitkin County Sardy Field",SkyWest Airlines Inc.,Security,38.97058824,0.21
242,"Aspen, CO: Aspen Pitkin County Sardy Field",SkyWest Airlines Inc.,Weather,72.74103932,66.35
243,"Atlanta, GA: Hartsfield-Jackson Atlanta International",AirTran Airways Corporation,Carrier,54.94239992,937.49
244,"Atlanta, GA: Hartsfield-Jackson Atlanta International",AirTran Airways Corporation,Late Aircraft,66.92029526,1965.08
245,"Atlanta, GA: Hartsfield-Jackson Atlanta International",AirTran Airways Corporation,National Air Systems,35.31239808,2056.59
246,"Atlanta, GA: Hartsfield-Jackson Atlanta International",AirTran Airways Corporation,Weather,64.6712046,132.85
247,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Alaska Airlines Inc.,Carrier,46.3421299,26.97
248,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Alaska Airlines Inc.,Late Aircraft,31.53476685,5.3
249,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Alaska Airlines Inc.,National Air Systems,27.09367219,38.44
250,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Alaska Airlines Inc.,Weather,33.55555556,2.3
251,"Atlanta, GA: Hartsfield-Jackson Atlanta International",American Airlines Inc.,Carrier,49.8026022,469.11
252,"Atlanta, GA: Hartsfield-Jackson Atlanta International",American Airlines Inc.,Late Aircraft,60.28485899,380.51
253,"Atlanta, GA: Hartsfield-Jackson Atlanta International",American Airlines Inc.,National Air Systems,39.9507905,221.02
254,"Atlanta, GA: Hartsfield-Jackson Atlanta International",American Airlines Inc.,Security,80.48780488,0.41
255,"Atlanta, GA: Hartsfield-Jackson Atlanta International",American Airlines Inc.,Weather,64.40489833,47.98
256,"Atlanta, GA: Hartsfield-Jackson Atlanta International",American Eagle Airlines Inc.,Carrier,50.65800398,82.47
257,"Atlanta, GA: Hartsfield-Jackson Atlanta International",American Eagle Airlines Inc.,Late Aircraft,63.80169561,72.84
258,"Atlanta, GA: Hartsfield-Jackson Atlanta International",American Eagle Airlines Inc.,National Air Systems,37.88110952,137.78
259,"Atlanta, GA: Hartsfield-Jackson Atlanta International",American Eagle Airlines Inc.,Weather,60.76774281,20.91
260,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Delta Air Lines Inc.,Carrier,93.49026563,8175.65
261,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Delta Air Lines Inc.,Late Aircraft,57.78420241,11511.43
262,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Delta Air Lines Inc.,National Air Systems,40.55177552,12220.65
263,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Delta Air Lines Inc.,Security,79.30005377,8.2
264,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Delta Air Lines Inc.,Weather,93.88527858,1054.11
265,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Envoy Air,Carrier,48.45794105,60.18
266,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Envoy Air,Late Aircraft,42.28619962,39.07
267,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Envoy Air,National Air Systems,38.37344722,95.01
268,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Envoy Air,Weather,52.62118043,15.75
269,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ExpressJet Airlines Inc.,Carrier,89.12190102,3470.1
270,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ExpressJet Airlines Inc.,Late Aircraft,65.31122426,7726.59
271,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ExpressJet Airlines Inc.,National Air Systems,39.69712279,3976.19
272,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ExpressJet Airlines Inc.,Security,39.76678379,22.64
273,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ExpressJet Airlines Inc.,Weather,98.10661718,233.52
274,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Frontier Airlines Inc.,Carrier,66.56349475,90.94
